日時,始値,高値,安値,終値,調整後終値,出来高(株)
2023/9/5,610,611,605,608,608,"20,000"
2023/9/4,590,618,587,614,614,"62,700"
2023/9/1,584,585,581,584,584,"14,000"
2023/8/31,582,584,581,581,581,"5,900"
2023/8/30,585,589,580,580,580,"27,100"
2023/8/29,580,589,580,585,585,"17,600"
2023/8/28,585,586,579,584,584,"27,300"
2023/8/25,577,584,577,579,579,"11,800"
2023/8/24,587,588,580,581,581,"9,300"
2023/8/23,579,587,578,584,584,"8,300"
2023/8/22,585,588,578,578,578,"25,400"
2023/8/21,573,584,571,584,584,"19,000"
2023/8/18,563,578,563,567,567,"47,800"
2023/8/17,594,594,561,572,572,"90,100"
2023/8/16,598,603,594,596,596,"21,700"
2023/8/15,612,616,582,598,598,"96,200"
2023/8/14,593,643,593,619,619,"147,500"
2023/8/10,592,595,590,592,592,"12,400"
2023/8/9,603,603,590,592,592,"21,400"
2023/8/8,603,603,597,602,602,"6,900"
2023/8/7,596,603,593,599,599,"13,200"
2023/8/4,588,595,588,593,593,"7,800"
2023/8/3,588,596,588,588,588,"21,500"
2023/8/2,588,590,586,588,588,"11,800"
2023/8/1,588,591,586,588,588,"8,100"
2023/7/31,591,594,587,588,588,"7,400"
2023/7/28,585,590,580,588,588,"23,900"
2023/7/27,587,588,584,586,586,"14,400"
2023/7/26,586,595,586,588,588,"11,700"
2023/7/25,591,593,586,587,587,"14,100"
2023/7/24,591,598,589,589,589,"13,900"
2023/7/21,591,598,588,593,593,"19,100"
2023/7/20,600,600,593,593,593,"28,200"
2023/7/19,602,603,596,601,601,"16,000"
2023/7/18,600,610,598,599,599,"31,500"
2023/7/14,609,613,593,602,602,"31,500"
2023/7/13,587,606,587,606,606,"31,200"
2023/7/12,596,596,585,587,587,"26,200"
2023/7/11,581,597,581,596,596,"46,700"
2023/7/10,588,588,580,581,581,"23,500"
2023/7/7,579,589,577,588,588,"32,900"
2023/7/6,600,600,584,586,586,"63,200"
2023/7/5,598,603,595,603,603,"22,400"
2023/7/4,605,606,595,604,604,"34,000"
2023/7/3,610,617,608,609,609,"31,500"
2023/6/30,599,617,594,605,605,"49,700"
2023/6/29,598,609,592,603,603,"106,000"
2023/6/28,606,627,606,618,618,"199,100"
2023/6/27,620,620,596,608,608,"136,700"
2023/6/26,625,632,613,619,619,"52,700"
2023/6/23,639,647,613,625,625,"103,100"
2023/6/22,666,666,639,639,639,"97,000"
2023/6/21,657,670,653,666,666,"99,200"
2023/6/20,655,659,644,657,657,"70,200"
2023/6/19,640,653,638,649,649,"60,500"
2023/6/16,638,643,631,642,642,"50,800"
2023/6/15,630,646,623,638,638,"75,000"
2023/6/14,659,659,632,636,636,"68,400"
2023/6/13,661,669,650,656,656,"156,800"
2023/6/12,628,685,626,661,661,"493,600"
2023/6/9,603,616,600,613,613,"127,100"
2023/6/8,609,618,599,604,604,"78,800"
2023/6/7,598,610,588,608,608,"67,100"
2023/6/6,591,598,581,597,597,"33,400"
2023/6/5,603,605,591,591,591,"46,800"
2023/6/2,598,606,586,595,595,"61,700"
2023/6/1,598,605,590,592,592,"55,200"
2023/5/31,590,599,586,598,598,"68,000"
2023/5/30,582,591,575,587,587,"42,500"
2023/5/29,584,584,574,582,582,"30,700"
2023/5/26,564,585,561,574,574,"94,700"
2023/5/25,562,564,558,562,562,"24,800"
2023/5/24,553,563,553,562,562,"25,600"
